offset_x,offset_y,1996-06-22 00:00:00,1996-06-28 00:00:00,1996-07-05 00:00:00,1996-07-12 00:00:00,1996-07-19 00:00:00,1996-07-26 00:00:00,1996-08-02 00:00:00,1996-08-16 00:00:00,1997-06-22 00:00:00,1997-07-15 00:00:00,1997-07-30 00:00:00,1997-08-11 00:00:00,1997-08-21 00:00:00,1997-08-30 00:00:00,1998-06-25 00:00:00,1998-07-09 00:00:00,1998-07-23 00:00:00,1998-08-07 00:00:00,1998-08-14 00:00:00,1998-08-21 00:00:00,1998-08-31 00:00:00,1999-06-27 00:00:00,1999-07-04 00:00:00,1999-07-10 00:00:00,1999-07-18 00:00:00,1999-07-26 00:00:00,1999-08-07 00:00:00,1999-08-13 00:00:00,1999-08-19 00:00:00,1999-08-28 00:00:00,1999-09-04 00:00:00,1999-09-08 00:00:00,2000-06-04 00:00:00,2000-06-17 00:00:00,2000-07-01 00:00:00,2000-07-15 00:00:00,2000-07-28 00:00:00,2000-08-11 00:00:00,2000-08-28 00:00:00,2001-06-25 00:00:00,2001-07-11 00:00:00,2001-07-25 00:00:00,2001-08-09 00:00:00,2001-08-21 00:00:00,2001-08-29 00:00:00,2002-06-24 00:00:00,2002-07-08 00:00:00,2002-07-17 00:00:00,2002-07-31 00:00:00,2002-08-13 00:00:00,2002-08-21 00:00:00,2002-08-31 00:00:00,2003-06-11 00:00:00,2003-06-18 00:00:00,2003-06-26 00:00:00,2003-07-03 00:00:00,2003-07-16 00:00:00,2003-07-30 00:00:00,2003-08-13 00:00:00,2003-08-30 00:00:00,2004-06-12 00:00:00,2004-06-19 00:00:00,2004-06-26 00:00:00,2004-07-09 00:00:00,2004-07-25 00:00:00,2004-08-05 00:00:00,2004-08-19 00:00:00,2004-08-29 00:00:00,2005-06-01 00:00:00,2005-06-06 00:00:00,2005-06-13 00:00:00,2005-06-25 00:00:00,2005-07-09 00:00:00,2005-08-04 00:00:00,2005-08-16 00:00:00,2005-08-27 00:00:00,2006-06-26 00:00:00,2006-07-05 00:00:00,2006-07-10 00:00:00,2006-07-23 00:00:00,2006-08-07 00:00:00,2006-08-23 00:00:00,2006-08-28 00:00:00,2007-06-09 00:00:00,2007-06-16 00:00:00,2007-06-27 00:00:00,2007-07-09 00:00:00,2007-07-23 00:00:00,2007-08-08 00:00:00,2007-08-21 00:00:00,2007-09-04 00:00:00,2008-06-23 00:00:00,2008-07-02 00:00:00,2008-07-08 00:00:00,2008-07-21 00:00:00,2008-07-31 00:00:00,2008-08-10 00:00:00,2008-08-21 00:00:00,2008-08-27 00:00:00,2008-09-01 00:00:00,2009-05-17 00:00:00,2009-05-24 00:00:00,2009-05-31 00:00:00,2009-06-08 00:00:00,2009-06-18 00:00:00,2009-06-28 00:00:00,2009-07-13 00:00:00,2009-07-26 00:00:00,2009-08-10 00:00:00,2009-08-23 00:00:00,2009-09-01 00:00:00,2010-06-20 00:00:00,2010-06-29 00:00:00,2010-07-12 00:00:00,2010-07-26 00:00:00,2010-08-09 00:00:00,2010-08-23 00:00:00,2010-08-30 00:00:00,2010-09-04 00:00:00,2011-06-10 00:00:00,2011-06-14 00:00:00,2011-06-23 00:00:00,2011-07-05 00:00:00,2011-07-19 00:00:00,2011-08-02 00:00:00,2011-08-16 00:00:00,2011-08-30 00:00:00,2012-06-26 00:00:00,2012-07-03 00:00:00,2012-07-10 00:00:00,2012-07-17 00:00:00,2012-07-24 00:00:00,2012-08-07 00:00:00,2012-08-21 00:00:00,2012-09-05 00:00:00,2013-06-01 00:00:00,2013-06-08 00:00:00,2013-06-15 00:00:00,2013-06-22 00:00:00,2013-07-06 00:00:00,2013-07-20 00:00:00,2013-08-03 00:00:00,2013-08-17 00:00:00,2013-09-02 00:00:00,2013-09-07 00:00:00,2014-06-24 00:00:00,2014-06-30 00:00:00,2014-07-07 00:00:00,2014-07-21 00:00:00,2014-08-04 00:00:00,2014-08-18 00:00:00,2014-09-01 00:00:00,2015-06-30 00:00:00,2015-07-07 00:00:00,2015-07-14 00:00:00,2015-07-28 00:00:00,2015-08-11 00:00:00,2015-08-25 00:00:00,2015-09-01 00:00:00,2016-06-13 00:00:00,2016-06-20 00:00:00,2016-06-27 00:00:00,2016-07-04 00:00:00,2016-07-11 00:00:00,2016-07-25 00:00:00,2016-08-08 00:00:00,2016-08-22 00:00:00,2016-08-31 00:00:00
0,0,14,25,42,56,62,65,67,70,-999,36,46,68,71,32.4,19,44,53,53,57,59,72,-999,6,21,37,48,64,65,65,64,44,44,-999,13,42,42,56,58,69,11,30,62,67,68,69,15,43,64,70,75,76,74,-999,13,36,45,51,64,68,68,16,27,45,55,65,67,70,74,-999,18,33,53,61,75,76,76,25,56,60,70,79,81,79,-999,24,50,62,67,71,73,71,21,47,53,65,71,75,75,75,74,-999,-999,8,20,36,47,62,71,74,75,72,35,53,67,67,74,77,75,84,13,26,51,62,67,78,84,84,-999,45,57,67,72,80,82,84,10,14,35,44,52,67,67,66,65,64,12,35,47,57,64,76,76,12,42,50,62,69,74,73,12,40,47,55,61,73,80,72,86
0,10,2,30,47,51,62,67,67,68,-999,36,46,61,64,27.7,2,41,52,52,56,72,70,-999,1,21,37,48,60,62,64,63,61,59,-999,8,40,43,58,64,68,13,45,58,65,66,69,6,55,63,72,78,79,79,-999,6,25,37,54,63,69,71,10,32,42,55,67,70,75,75,-999,-999,30,49,55,75,79,78,15,38,41,58,74,77,76,1,20,39,55,67,72,75,75,1,32,44,63,74,78,78,77,76,-999,-999,11,17,34,41,58,69,76,76,75,22,43,56,66,75,75,74,74,3,26,47,59,64,70,75,74,19,46,54,65,67,75,79,79,10,20,41,54,57,63,68,68,68,66,15,27,43,54,63,68,67,6,28,46,60,66,76,67,8,24,46,55,60,68,74,80,80
0,20,1,18,37.5,50,56,59,62,62,-999,37,52,59,62,38,9,38,49,61,65,66,66,-999,7,16,36,47,59,63,62,61,61,59,-999,9,41,54,61,65,69,6,49,62,66,68,68,10,54,63,68,73,74,75,-999,8,24,40,50,60,64,66,4,16,37,55,62,65,69,70,-999,-999,13,45,55,72,79,79,-999,16,27,63,71,72,73,-999,8,36,54,60,69,68,65,-999,24,44,57,63,68,70,69,66,-999,-999,-999,12,24,38,59,64,71,71,69,13,40,54,60,65,69,68,76,-999,3,40,51,65,67,75,76,14,41,48,60,66,73,79,80,7,28,34,40,46,57,67,70,68,68,11,29,40,54,65,72,73,4,38,48,61,70,72,71,9,32,42,49,55,70,80,84,89
0,30,0.5,20,34,45,49,51,53,53,-999,41,53,55,55,28.6,8,41,48,57,57,60,60,-999,5,7,29,44,53,54,55,54,52,51,-999,4,41,49,52,65,68,9,45,52,57,61,69,2,45,53,60,68,68,68,-999,6,33,37,50,59,65,65,-999,20,31,45,61,65,67,68,-999,-999,17,34,49,72,72,72,1,28,38,54,68,71,71,-999,14,40,53,65,70,70,70,2,34,43,56,70,71,71,72,70,-999,-999,1,17,40,46,61,70,74,75,75,26,37,56,65,73,74,72,86,-999,-999,28,57,72,77,84,86,13,17,34,64,71,86,88,89,-999,15,25,38,57,69,78,80,80,80,4,20,37,63,71,77,78,7,29,51,65,75,77,77,5,27,55,63,68,82,87,94,97
0,40,5,21,45,55,59,61,63,64,-999,49,60,63,68,47.5,6,48,53,64,67,69,71,-999,1,18,46,53,62,64,63,63,61,60,-999,8,49,57,61,66,68,5,48,53,62,69,68,15,55,62,70,74,74,75,-999,7,24,37,55,63,72,76,13,20,36,58,74,77,80,82,-999,-999,11,35,52,81,83,82,-999,16,33,51,69,74,75,-999,10,30,47,63,68,79,76,3,58,58,67,78,83,83,84,81,-999,-999,5,14,26,47,68,75,81,84,83,18,46,66,75,84,85,83,88,-999,5,39,51,68,77,85,88,-999,18,39,57,64,80,83,85,15,24,27,49,61,72,78,82,81,81,-999,12,48,62,73,78,79,8,36,50,67,77,80,85,-999,23,49,58,65,82,-999,70,72
0,50,12,31,37.5,46,53,60,61,62,-999,39,52,60,61,37.7,6,36,48,64,65,69,69,-999,8,21,39,46,59,61,63,62,56,56,-999,5,38,51,60,63,65,9,48,58,65,65,67,5,53,61,67,72,73,73,-999,15,47,54,64,74,75,75,9,27,49,64,75,76,80,81,-999,-999,14,50,65,80,81,81,11,27,50,65,77,81,80,-999,16,51,64,72,77,79,75,11,46,57,71,78,81,81,81,81,-999,-999,1,17,33,53,70,78,82,83,82,14,43,58,72,80,82,78,79,-999,-999,32,47,70,70,86,79,-999,61,60,66,72,85,88,88,4,24,36,46,57,71,79,83,81,80,5,23,50,61,74,79,81,5,46,54,69,78,87,82,-999,10,50,53,58,77,87,94,95
0,60,10,24,35.5,49,55,60,63,64,-999,44,57,61,65,38.3,10,42,52,62,65,66,68,-999,14,23,40,51,60,63,63,62,61,60,-999,17,44,57,61,64,68,10,47,59,64,66,69,17,55,63,68,73,74,75,-999,4,26,41,53,61,65,66,1,21,42,54,64,65,67,68,-999,-999,18,43,56,70,70,70,3,25,35,54,67,70,71,1,18,44,56,62,69,69,69,1,31,47,59,67,70,70,70,70,-999,-999,13,24,41,53,65,73,75,75,74,16,45,55,64,69,71,70,85,-999,-999,41,49,70,78,84,85,-999,15,39,58,67,82,83,83,1,24,40,46,53,69,72,79,77,77,7,37,44,58,74,73,78,-999,44,50,62,64,79,77,-999,8,29,41,45,75,85,86,86
0,70,35,41,49,58,63,67,67,69,-999,43,56,62,68,39.7,35,46,53,68,68,68,69,-999,2,23,43,50,59,62,63,62,60,58,-999,12,43,55,60,64,67,12,57,62,69,70,71,35,55,64,68,74,75,76,-999,25,41,46,58,65,69,69,3,25,40,57,65,69,73,74,-999,-999,24,46,59,75,76,76,3,40,47,60,74,74,77,16,19,46,57,63,70,71,70,2,42,50,63,70,73,74,74,74,-999,-999,8,16,37,54,64,71,74,75,75,15,41,58,69,75,75,73,82,-999,-999,22,35,64,70,78,82,-999,8,28,44,57,69,77,77,1,15,23,33,54,64,72,78,78,79,-999,14,27,52,65,72,75,-999,9,26,52,62,65,62,-999,-999,17,40,48,61,71,75,79
0,80,34,38,46.5,50,57,61,61,63,-999,42,52,58,60,18.4,16,38,50,60,63,64,66,-999,1,14,35,45,54,58,57,57,56,55,-999,12,40,51,56,60,62,15,47,53,61,63,64,32,55,61,67,73,73,73,-999,9,36,47,54,59,63,63,6,24,43,56,64,64,66,66,-999,-999,18,51,55,68,69,69,11,45,50,60,68,73,70,-999,11,43,50,57,67,68,65,7,36,49,59,66,71,71,69,66,-999,-999,6,12,31,46,56,64,67,68,68,15,42,59,65,72,71,68,78,-999,7,22,49,61,69,73,78,-999,14,30,55,62,72,73,74,6,18,25,46,55,65,70,72,72,71,-999,9,26,53,66,71,74,-999,12,27,56,66,68,65,-999,-999,13,39,48,60,67,70,68
0,90,18,32,41,49,56,60,61,61,-999,48,60,61,66,16.9,14,38,50,62,62,67,67,-999,2,34,45,52,60,61,62,59,58,56,-999,19,43,53,58,61,64,45,51,56,63,64,64,37,55,60,65,69,70,70,-999,24,46,54,60,70,73,73,27,45,56,64,72,73,73,74,-999,11,29,55,60,75,75,75,38,59,63,71,76,78,78,-999,29,55,63,69,75,78,73,21,54,63,72,77,80,80,80,78,-999,-999,19,22,36,53,64,71,75,75,75,25,54,64,73,78,79,75,83,18,34.5,51,62,71,78,82,83,11,53,60,69,73,83,83,84,20,44,51,57,58,67,74,74,73,70,13,41,46,58,69,73,73,-999,50,51,66,70,73,70,-999,40,50,50,51,75,82,82,84
0,100,9,25,35,43,50,52,54,65,-999,48,58,62,63,33.9,13,43,51,61,63,66,66,-999,13,35,45,55,62,64,62,60,60,57,-999,14,42,53,59,61,62,10,44,52,61,61,63,20,50,58,63,65,68,67,-999,10,38,44,58,67,72,74,26,41,50,61,71,75,78,80,-999,1,19,55,62,78,80,80,5,47,49,60,72,77,75,-999,20,46,58,68,74,76,75,46,55,63,73,79,83,83,84,84,-999,-999,7,19,36,50,64,75,79,80,80,46,54,67,75,80,83,80,89,20,21,42,44,79,85,88,89,16,58,58,75,78,87,88,88,19,42,50,62,64,72,78,79,77,77,15,28,44,61,72,78,88,12,50,57,68,78,80,60,-999,39,52,61,-999,81,86,89,90
10,0,23,34,45.5,60,62,67,69,69,-999,42,57,63,68,37.8,10,43,52,57,70,71,71,-999,-999,16,46,53,63,65,65,63,62,60,-999,12,40,47,52,64,66,12,43,61,63,63,64,9,50,57,65,68,70,69,-999,6,24,42,52,61,65,66,-999,14,42,57,63,66,68,65,-999,2,15,50,55,69,71,70,3,44,47,50,67,70,69,-999,13,46,57,63,68,67,67,14,46,56,63,68,71,71,72,71,-999,-999,5,17,30,40,60,68,70,72,70,37,47,60,63,71,71,70,79,7,30,37,49,64,70,76,79,11,44,51,63,69,80,82,83,1,23,34,40,48,62,70,73,71,71,18,38,43,56,66,71,71,8,39,50,64,71,75,70,13,34,46,56,61,75,83,86,87
10,10,19,34,43,50,51,63,63,63,-999,37,46,50,54,28.5,15,40,50,58,47,50,52,-999,5,11,41,47,51,58,58,56,54,52,-999,7,37,42,49,60,61,18,37,41,49,51,50,16,45,43,46,69,70,70,-999,14,39,47,58,69,74,73,14,36,46,60,71,74,78,78,-999,-999,30,48,60,76,79,87,10,40,45,62,75,75,77,-999,7,41,58,67,72,74,70,1,47,55,69,75,78,79,78,76,-999,-999,7,18,33,45,60,70,75,75,74,11,48,62,70,76,77,75,81,8,25,44,51,68,75,80,81,10,45,54,66,71,81,83,85,10,34,35,57,63,66,71,75,71,70,15,32,41,55,67,73,73,14,44,53,65,73,75,74,5,27,45,55,62,75,84,87,88
10,20,14,30,40.5,50,57,62,64,64,-999,40,50,58,60,45.5,7,30,44,54,62,67,63,-999,7,12,37,43,54,54,54,55,53,48,-999,8,31,45,54,59,61,7,40,46,59,64,63,10,47,56,64,69,70,69,-999,-999,17,35,44,55,60,64,1,21,34,50,60,64,67,67,-999,-999,12,45,51,68,71,80,-999,23,34,53,67,76,75,-999,8,39,55,61,68,69,68,-999,21,44,64,68,74,74,74,73,-999,-999,-999,15,29,47,59,67,71,74,72,14,40,52,61,67,70,69,84,-999,10,34,53,66,76,84,84,2,25,49,62,67,78,81,81,-999,16,35,53,60,67,72,74,72,72,8,22,35,55,67,69,74,5,28,48,63,72,75,75,-999,21,40,52,59,75,83,87,90
10,30,21,27,35.5,46,53,59,61,61,-999,50,63,65,70,38.9,13,44,53,68,68,73,73,-999,7,22,43,52,52,63,63,61,60,58,-999,18,41,55,61,65,67,10,48,55,65,66,68,38,55,63,68,73,76,76,-999,-999,20,40,52,60,68,69,-999,17,35,55,65,70,72,73,-999,-999,16,47,58,74,75,75,-999,21,38,59,70,75,75,-999,1,39,56,64,73,74,70,3,42,55,67,73,76,76,78,75,-999,-999,-999,13,27,59,63,72,76,79,79,15,44,59,68,76,79,78,90,-999,-999,27,55,68,79,87,90,-999,19,40,59,68,83,88,90,14,25,43,55,60,70,77,80,81,79,2,21,34,54,70,77,80,9,32,50,67,78,83,82,-999,17,31,50,58,79,87,91,94
10,40,16,30,41,50,58,62,63,63,-999,41,57,60,62,33.2,-999,40,49,61,63,64,64,-999,8,25,41,49,58,61,61,60,58,55,-999,9,41,51,56,61,63,6,44,52,60,61,63,35,51,60,64,69,70,70,-999,3,32,46,59,67,71,74,7,21,42,65,72,76,81,81,-999,-999,15,50,67,83,86,87,-999,49,72,74,84,87,88,-999,6,42,67,77,83,85,84,13,52,64,79,86,88,89,90,89,-999,-999,-999,16,31,45,74,83,87,90,89,23,51,70,80,86,88,88,94,-999,5,28,60,75,85,90,94,-999,16,40,69,77,86,92,94,9,24,32,52,69,78,85,88,88,87,-999,19,33,55,72,80,83,5,30,55,70,80,84,84,-999,7,26,37,60,78,88,92,96
10,50,32,42,47,55,65,68,70,71,-999,44,48,65,67,35.6,10,41,53,64,69,67,68,-999,7,21,44,52,63,64,65,63,61,54,-999,11,42,56,63,67,69,7,41,60,66,67,68,20,56,64,71,75,75,76,-999,6,40,45,60,70,75,77,9,32,43,63,72,77,80,81,-999,1,28,55,61,81,85,85,-999,50,52,62,77,82,81,-999,19,47,60,72,78,79,80,12,60,62,71,79,84,85,86,84,-999,-999,1,16,50,55,67,78,84,86,86,11,55,64,75,81,84,83,85,-999,6,42,56,73,78,85,85,-999,50,52,64,71,82,87,86,9,24,45,47,50,67,78,80,80,80,-999,17,30,60,72,79,80,-999,23,50,67,76,79,78,-999,7,27,46,59,77,86,90,91
10,60,1,16,35,39,47,53,53,53,-999,38,51,57,59,37.5,6,32,46,58,61,63,63,-999,-999,13,34,42,54,56,57,56,53,53,-999,12,35,49,53,60,62,9,47,51,60,64,60,4,47,56,64,68,70,71,-999,3,27,40,58,67,73,75,-999,17,47,59,70,74,78,78,-999,-999,15,54,60,80,83,83,-999,25,53,66,76,79,79,-999,10,50,54,68,75,77,76,7,56,62,71,77,81,82,83,81,-999,-999,5,16,29,40,58,71,77,80,80,53,54,66,75,80,81,79,87,-999,-999,41,53,70,79,86,87,-999,15,44,66,72,82,86,86,-999,16,35,55,55,56,59,78,78,78,-999,18,34,57,72,78,80,4,20,34,65,75,80,78,-999,3,24,46,48,75,86,86,86
10,70,26,39,45.5,52,57,60,61,61,-999,41,53,57,60,25.3,10,38,50,58,60,65,65,-999,-999,16,38,47,57,58,60,57,55,53,-999,14,41,53,57,60,62,12,51,57,63,63,66,30,56,61,67,74,75,68,-999,-999,20,36,49,57,60,63,-999,4,21,50,59,61,65,63,-999,-999,13,43,50,66,69,68,-999,19,31,51,63,64,64,-999,22,43,52,60,63,65,65,26,48,53,66,71,73,73,72,71,-999,-999,8,15,30,47,56,64,69,69,67,8,38,50,61,67,69,66,92,-999,-999,31,59,72,81,90,92,-999,14,46,56,65,81,85,85,4,19,28,51,60,69,71,81,82,80,-999,17,30,56,72,81,82,-999,25,43,63,77,82,80,-999,7,27,51,58,77,87,91,94
10,80,14,34,42.5,51,56,58,60,61,-999,39,51,57,59,39.4,7,38,50,62,61,65,66,-999,7,24,45,52,61,62,64,62,59,58,-999,10,44,54,59,61,64,8,46,52,58,62,68,29,52,60,65,69,69,73,-999,11,35,44,55,65,66,68,4,28,40,55,66,67,70,70,-999,3,25,45,55,71,72,72,9,36,45,54,67,69,68,-999,9,41,55,63,68,71,68,18,47,56,67,73,77,77,76,76,-999,-999,9,15,25,40,60,70,74,75,73,11,52,55,65,70,73,72,75,2,7,32,49,64,67,74,75,-999,17,33,49,58,69,74,72,11,21,30,41,50,58,67,69,67,69,-999,21,37,54,64,69,70,-999,23,38,56,64,68,67,-999,12,30,44,51,68,76,78,80
10,90,2,26,45,53,56,58,58,59,-999,47,59,59,60,35.9,2,42,50,56,60,59,63,-999,-999,12,31,49,56,58,57,57,56,54,-999,3,38,51,55,57,59,30,48,52,58,58,58,4,48,54,58,61,62,62,-999,10,41,50,59,67,72,74,10,39,48,58,70,72,79,78,-999,2,49,52,62,78,80,79,27,46,51,64,76,80,80,6,19,46,58,66,73,75,74,26,48,57,69,76,80,82,82,79,-999,-999,8,14,28,42,60,71,76,77,75,17,43,59,69,72,76,76,80,25,31.5,38,41,47,76,86,80,11,31,37,68,72,79,81,81,15,38,48,40,47,47,51,53,63,72,19,33,41,56,64,68,67,2,44,52,63,68,71,69,-999,36,44,43,40,74,77,77,37
10,100,15,33,42,50,53,57,58,59,-999,40,53,58,63,34.2,13,40,50,59,61,63,63,-999,6,18,45,49,56,58,59,58,57,57,-999,9,39,49,55,58,60,11,48,58,59,59,59,1,45,54,60,65,65,69,-999,19,42,51,58,67,70,70,2,20,35,58,68,71,72,72,-999,-999,20,50,60,75,75,75,-999,24,43,60,73,75,76,-999,21,49,62,66,73,70,66,10,33,47,61,67,71,72,72,71,-999,-999,-999,16,34,46,61,70,73,74,72,16,46,56,65,71,72,70,94,23,31.5,40,43,81,87,94,94,12,50,59,76,81,92,93,95,17,38,37,54,54,55,57,81,80,77,10,44,49,62,75,81,82,-999,47,54,69,74,81,78,-999,16,48,-999,67,80,89,92,94
20,0,0.5,11,30.5,45,46,49,53,56,-999,32,48,52,57,35.1,-999,36,45,53,56,56,68,-999,-999,2,23,41,48,51,52,52,52,50,-999,-999,30,45,50,55,58,3,38,43,57,57,57,-999,37,47,55,61,61,62,-999,8,30,38,50,62,67,68,-999,18,41,53,63,69,72,74,-999,-999,13,35,45,70,73,73,4,31,41,54,70,72,73,-999,15,41,53,60,68,68,66,15,49,54,63,70,74,74,77,75,-999,-999,1,11,28,47,59,67,71,73,72,22,46,60,69,76,76,76,73,-999,15,19,47,58,66,78,73,2,23,41,57,62,70,72,74,2,15,22,38,45,59,62,63,62,62,5,19,34,51,58,64,65,-999,17,34,52,60,63,62,-999,16,35,46,50,64,71,74,76
20,10,12,17,26.5,42,49,54,56,56,-999,30,42,49,50,27.8,-999,30,39,56,56,58,60,-999,-999,7,41,46,47,50,55,52,50,50,-999,2,30,43,48,54,58,1,39,46,53,53,55,6,38,47,52,65,65,57,-999,1,26,37,51,63,70,72,2,23,41,54,65,73,75,77,-999,-999,12,50,56,78,80,83,-999,28,31,59,75,79,79,-999,11,44,55,64,72,74,72,18,50,56,69,75,80,81,82,80,-999,-999,1,15,29,46,60,71,77,78,78,26,47,60,71,80,81,79,74,-999,27,29,54,64,70,75,74,-999,24,42,57,63,74,77,79,-999,11,23,39,61,62,69,71,68,68,7,17,30,47,66,63,64,7,24,43,54,63,67,69,5,27,40,52,60,73,80,84,85
20,20,14,34,48,58,60,66,68,68,-999,45,56,61,66,47.7,2,42,53,62,64,67,69,-999,1,18,37,53,61,65,65,64,63,60,-999,7,40,55,60,66,66,6,48,55,61,63,63,3,49,59,65,68,68,69,-999,-999,18,40,50,62,68,68,1,18,37,55,63,68,72,70,-999,-999,14,46,57,75,77,76,-999,15,30,55,70,74,74,-999,5,49,56,64,71,74,73,6,46,55,67,72,76,77,78,77,-999,-999,8,20,40,53,67,75,80,81,81,15,45,60,70,75,79,78,83,-999,10,36,56,65,75,82,83,-999,20,41,61,66,78,82,82,6,25,40,46,56,66,72,73,73,72,8,20,34,54,67,73,74,4,27,44,64,72,75,75,-999,21,42,53,61,76,85,86,89
