Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,,,,
1957-01,1957,1,-27.5,,-32,,-29.8,,-20.6,,-38.9,,,M,,M,,M,,M,,,,
1957-02,1957,2,-23.2,,-26.3,,-24.8,,-13.9,,-32.2,S,,M,,M,,M,,M,,,,
1957-03,1957,3,-18.3,,-21.7,,-20,,-8.3,,-26.1,S,,M,,M,,M,,M,,,,
1957-04,1957,4,-14.7,,-19.4,,-17.1,,-11.1,,-22.2,,,M,,M,,M,,M,,,,
1957-05,1957,5,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1957-06,1957,6,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1957-07,1957,7,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1957-08,1957,8,6.8,,2.2,,4.5,,16.1,,-2.8,,30,,8.4,,38.4,,0,,,,,
1957-09,1957,9,2,,-1.4,,0.3,,11.1,,-7.2,,7.6,,29,,36.6,,0,,,,,
1957-10,1957,10,-6.2,,-10.8,,-8.5,,1.7,S,-23.3,,0,,8.9,,8.9,,,M,,,,
1957-11,1957,11,-15.3,,-20.4,,-17.9,,-8.9,,-26.1,,,M,,M,,M,,M,,,,
1957-12,1957,12,-21.2,,-26.8,,-24,,-10.6,,-41.1,,,M,,M,,M,,M,,,,
1958-01,1958,1,-21.7,,-27.7,,-24.7,,-4.4,,-38.3,S,0,T,0,T,0,T,,M,,,,
1958-02,1958,2,-20.4,,-27,,-23.7,,-1.1,,-37.2,,0,,7.6,,7.6,,,M,,,,
1958-03,1958,3,-18.4,,-24.6,,-21.5,,-7.2,,-30.6,S,,M,,M,,M,,M,,,,
1958-04,1958,4,-16.9,,-24.2,,-20.6,,-5.6,,-30,,0,,53.8,,53.8,,36,,,,,
1958-05,1958,5,-3.4,,-7.7,,-5.6,,2.2,,-14.4,,,M,,M,,M,,M,,,,
1958-06,1958,6,4.4,,,M,,M,13.3,,,M,,M,,M,,M,0,T,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1958-07,1958,7,,M,2.2,,,M,,M,-5,,,M,,M,,M,,M,,,,
1958-08,1958,8,4.2,,-0.2,,2,,12.2,,-5.6,,3.6,,10.7,,14.2,,5,,,,,
1958-09,1958,9,0.4,,-2.8,,-1.2,,7.8,,-6.7,S,0.3,,11.4,,11.7,,8,,,,,
1958-10,1958,10,-6.8,,-10.1,,-8.5,,-2.8,,-17.2,,0,T,47.2,,47.2,,33,,,,,
1958-11,1958,11,-18.7,,-23.7,,-21.2,,-8.3,,-28.3,,0,,23.1,,23.1,,43,,,,,
1958-12,1958,12,-19.1,,-23.4,,-21.3,,-10.6,,-28.9,,0,,55.1,,55.1,,94,,,,,
1959-01,1959,1,-16.8,,-23.3,,-20.1,,-3.3,,-27.8,,0,,36.1,,36.1,,137,,,,,
1959-02,1959,2,-24.7,,-31.4,,-28.1,,-9.4,,-37.8,S,0,,0,,0,,137,,,,,
1959-03,1959,3,-24.2,,-29.9,,-27.1,,-16.1,,-35,S,0,,4.1,,4.1,,140,,,,,
1959-04,1959,4,-14.6,,-20.6,,-17.6,,-7.2,,-28.9,,0,,8.9,,8.9,,38,,,,,
1959-05,1959,5,-6.6,,-11.9,,-9.3,,0.6,S,-20.6,,0,,56.6,,56.6,,10,,,,,
1959-06,1959,6,1.3,,-3.6,,-1.2,,,M,-7.8,,1.3,,28.2,,29.5,,0,T,,,,
1959-07,1959,7,,M,0.4,,,M,,M,-4.4,,4.1,,2.3,,6.4,,0,,,,,
1959-08,1959,8,4.2,,-0.9,,1.7,,10.6,,-3.3,S,21.6,,15.2,,36.8,,0,,,,,
1959-09,1959,9,-0.6,,-3.2,,-1.9,,6.7,,-8.9,,18,,14.7,,32.8,,3,,,,,
1959-10,1959,10,-8.9,,-13.4,,-11.2,,-1.7,S,-24.4,,0,,16.8,,16.8,,13,,,,,
1959-11,1959,11,-13.4,,-17.1,,-15.3,,-2.8,,-22.2,,0,,31.5,,31.5,,30,,,,,
1959-12,1959,12,-18.7,,-23.2,,-21,,-10.6,,-31.7,,0,,8.4,,8.4,,28,,,,,
1960-01,1960,1,-21.4,,-26.5,,-24,,-5.6,,-38.3,S,0,,1.8,,1.8,,23,,,,,
1960-02,1960,2,-18.2,,-24.4,,-21.3,,-1.7,,-33.9,,0,,58.7,,58.7,,53,,,,,
1960-03,1960,3,-23.9,,-27.7,,-25.8,,-7.8,,-36.7,,0,,1.3,,1.3,,33,,,,,
1960-04,1960,4,-16.8,,-22.7,,-19.8,,-1.7,,-30,,0,,5.6,,5.6,,33,,,,,
1960-05,1960,5,-4.3,,-9.3,,-6.8,,2.2,,-13.3,S,0,,39.6,,39.6,,13,,,,,
1960-06,1960,6,1.5,,-2.6,,-0.6,,7.8,,-7.2,,0.3,,13.7,,14,,3,,,,,
1960-07,1960,7,8.8,,2.9,,5.9,,17.2,,-3.9,,4.1,,0,,4.1,,0,,,,,
1960-08,1960,8,4.3,,0.1,,2.2,,14.4,,-3.9,,25.9,,3.6,,29.5,,0,,,,,
1960-09,1960,9,-0.3,,-2.7,,-1.5,,8.3,,-5.6,,18,,4.3,,22.4,,3,,,,,
1960-10,1960,10,-2.7,,-5.9,,-4.3,,1.1,S,-17.2,,0,T,20.1,,20.1,,23,,,,,
1960-11,1960,11,-11.2,,-15.8,,-13.5,,-5.6,S,-26.7,,0,,6.6,,6.6,,30,,,,,
1960-12,1960,12,,M,,M,,M,-15,,-27.8,,0,,3.6,,3.6,,33,,,,,
1961-01,1961,1,-26.2,,-30.4,,-28.3,,-17.2,,-40.6,S,0,,0,T,0,T,33,,,,,
1961-02,1961,2,-26.9,,-31.2,,-29.1,,-14.4,,-39.4,,0,,2.3,,2.3,,36,,,,,
1961-03,1961,3,-30.6,,-34.5,,-32.6,,-24.4,,-37.8,,0,,3.8,,3.8,,38,,,,,
1961-04,1961,4,-10.8,,-17.3,,-14.1,,-3.3,,-28.9,,0,,0.3,,0.3,,18,,,,,
1961-05,1961,5,-9,,-13.8,,-11.4,,2.2,,-20,,0,,37.6,,37.6,,,M,,,,
1961-06,1961,6,3,,-1.9,,0.6,,11.7,,-8.3,,0.3,,0,T,0.3,,0,T,,,,
1961-07,1961,7,10.6,,3.2,,6.9,,17.2,S,-3.3,S,7.9,,0,,7.9,,0,,,,,
1961-08,1961,8,4.2,,0,,2.1,,15.6,,-3.9,,7.6,,11.4,,19.1,,3,,,,,
1961-09,1961,9,-2.2,,-4.9,,-3.6,,3.9,,-10.6,,2.3,,22.1,,24.4,,25,,,,,
1961-10,1961,10,-6.9,,-11.2,,-9.1,,1.7,,-19.4,,2.3,,17.5,,19.8,,36,,,,,
1961-11,1961,11,-15.9,,-20.2,,-18.1,,-5,,-26.7,,0,,3.8,,3.8,,33,,,,,
1961-12,1961,12,-16.1,,-23.3,,-19.7,,-3.3,,-35,,0,,1.3,,1.3,,33,,,,,
1962-01,1962,1,-23.3,,-28.8,,-26.1,,-12.2,,-36.7,,0,,1.8,,1.8,,33,,,,,
1962-02,1962,2,-26.8,,-31.8,,-29.3,,-20,,-37.2,,0,,0,T,0,T,30,,,,,
1962-03,1962,3,-13.8,,-19.1,,-16.5,,-4.4,,-24.4,,0,,12.2,,12.2,,28,,,,,
1962-04,1962,4,-13.2,,-18.7,,-16,,-6.1,,-26.1,,0,,31.8,,31.8,,41,,,,,
1962-05,1962,5,-6.7,,-12.8,,-9.8,,1.1,,-27.8,,0,,21.1,,21.1,,23,,,,,
1962-06,1962,6,2.4,,-2.8,,-0.2,,11.1,,-7.2,,0,T,9.1,,9.1,,5,,,,,
1962-07,1962,7,10.1,,3.8,,7,,18.9,,-3.3,,16.5,,0,,16.5,,0,T,,,,
1962-08,1962,8,6.6,,1,,3.8,,12.8,,-2.2,S,37.6,,2.5,,40.1,,0,,,,,
1962-09,1962,9,0.6,,-2.8,,-1.1,,12.8,,-7.8,,4.1,,16.3,,20.3,,18,,,,,
1962-10,1962,10,-6,,-10.2,,-8.1,,-1.1,,-16.1,S,0,,14,,14,,30,,,,,
1962-11,1962,11,-10.9,,-16.8,,-13.9,,-4.4,,-28.9,,0,,24.4,,24.4,,38,,,,,
1962-12,1962,12,-17.8,,-23.5,,-20.7,,-12.2,,-30,,0,,17.3,,17.3,,48,,,,,
1963-01,1963,1,-17.3,,-25.7,,-21.5,,-2.2,,-34.4,S,0,,13.7,,13.7,,46,,,,,
1963-02,1963,2,-16.6,,-21.7,,-19.2,,-0.6,,-30,,0,,16.3,,16.3,,48,,,,,
1963-03,1963,3,-23.7,,-29.3,,-26.5,,-17.8,,-35.6,,0,,7.6,,7.6,,46,,,,,
1963-04,1963,4,-12.4,,-17.7,,-15.1,,-5,,-33.9,,0,,25.7,,25.7,,48,,,,,
1963-05,1963,5,-7.1,,-12.4,,-9.8,,-1.1,,-18.9,,0,,40.6,,40.6,,46,,,,,
1963-06,1963,6,1,,-3.9,,-1.5,,8.3,,-8.3,,0,,30.5,,30.5,,8,,,,,
1963-07,1963,7,5.3,,0.3,,2.8,,12.8,,-5,,0,T,4.1,,4.1,,0,T,,,,
1963-08,1963,8,5.7,,0.5,,3.1,,15,,-6.1,,1.8,,1.3,,3,,3,,,,,
1963-09,1963,9,-2.7,,-6.3,,-4.5,,0.6,,-11.7,,0,,39.4,,39.4,,36,,,,,
1963-10,1963,10,-6.4,,-10.4,,-8.4,,-3.3,,-15.6,,0,,24.4,,24.4,,53,,,,,
1963-11,1963,11,-11.3,,-15.4,,-13.4,,-0.6,,-28.9,S,0,,28.2,,28.2,,84,,,,,
1963-12,1963,12,-18.7,,-24.6,,-21.7,,-6.1,,-31.7,,0,,8.4,,8.4,,86,,,,,
1964-01,1964,1,-24.6,,-30.3,,-27.5,,-14.4,,-36.7,S,0,,0,T,0,T,64,,,,,
1964-02,1964,2,-21.5,,-27.9,,-24.7,,-6.7,,-36.1,,0,,14.7,,14.7,,74,,,,,
1964-03,1964,3,-26.6,,-33,,-29.8,,-13.3,,-40.6,,0,,0,,0,,66,,,,,
1964-04,1964,4,-14.9,,-21.7,,-18.3,,-0.6,,-33.3,S,0,,0,,0,,51,,,,,
1964-05,1964,5,-7.3,,-12,,-9.7,,0,,-17.8,S,0,,0,T,0,T,38,,,,,
1964-06,1964,6,0.4,,-3.2,,-1.4,,7.2,,-6.7,S,0,T,7.6,,7.6,,8,,,,,
1964-07,1964,7,5.6,,0.3,,3,,13.3,,-4.4,,11.2,,9.1,,20.3,,0,T,,,,
1964-08,1964,8,4.6,,0,,2.3,,12.2,,-3.3,S,37.8,,6.6,,44.5,,0,T,,,,
1964-09,1964,9,1.3,,-1.7,,-0.2,,10.6,,-8.9,,42.2,,21.3,,63.5,,18,,,,,
1964-10,1964,10,-8.1,,-10.5,,-9.3,,-3.9,,-16.7,,0,,78.2,,78.2,,71,,,,,
1964-11,1964,11,-14.4,,-18.3,,-16.4,,-5.6,S,-26.1,,0,,9.1,,9.1,,79,,,,,
1964-12,1964,12,-18.1,,-23.3,,-20.7,,-11.1,,-35,S,0,,22.1,,22.1,,76,,,,,
1965-01,1965,1,-21.1,,-28,,-24.6,,-4.4,S,-35,S,0,,20.8,,20.8,,89,,,,,
1965-02,1965,2,-20.7,,-26.8,,-23.8,,-3.3,,-33.9,,0,,11.4,,11.4,,97,,,,,
1965-03,1965,3,-18.5,,-24.7,,-21.6,,-10,,-28.9,,0,,3.8,,3.8,,76,,,,,
1965-04,1965,4,-15.1,,-20.3,,-17.7,,-7.2,,-25,S,0,,16.8,,16.8,,61,,,,,
1965-05,1965,5,-0.3,,-5.5,,-2.9,,7.2,,-13.9,,0,,9.7,,9.7,,15,,,,,
1965-06,1965,6,2.2,,-2.5,,-0.2,,8.3,S,-7.2,S,8.9,,16.3,,25.1,,3,,,,,
1965-07,1965,7,6.3,,0.4,,3.4,,16.1,,-5,,31.2,,4.3,,35.6,,0,,,,,
1965-08,1965,8,2.8,,-1.6,,0.6,,10.6,,-3.9,S,23.6,,11.9,,35.6,,3,,,,,
1965-09,1965,9,-0.8,,-4.6,,-2.7,,7.8,,-10,,0,T,18,,18,,13,,,,,
1965-10,1965,10,-8.1,,-11.9,,-10,,-3.3,S,-25,,0,,23.1,,23.1,,33,,,,,
1965-11,1965,11,-12.3,,-17.4,,-14.9,,-1.7,,-25,,0,,7.6,,7.6,,36,,,,,
1965-12,1965,12,-19.6,,-23.9,,-21.8,,-14.4,S,-34.4,,0,,1.3,,1.3,,28,,,,,
1966-01,1966,1,-22.7,,-28.9,,-25.8,,-3.3,,-38.3,,0,,4.6,,4.6,,23,,,,,
1966-02,1966,2,-18.2,,-25.7,,-22,,-3.3,,-38.9,,0,,1,,1,,15,,,,,
1966-03,1966,3,-21.3,,-26.9,,-24.1,,-12.2,S,-33.3,,0,,1,,1,,15,,,,,
1966-04,1966,4,-13.6,,-19.6,,-16.6,,-3.9,,-26.7,,0,,2.5,,2.5,,13,,,,,
1966-05,1966,5,-5.5,,-11.1,,-8.3,,5,,-22.8,,0,,17.3,,17.3,,3,,,,,
1966-06,1966,6,1.1,,-4.1,,-1.5,,9.4,,-8.9,,37.1,,44.2,,81.3,,0,T,,,,
1966-07,1966,7,6.6,,-0.1,,3.3,,14.4,,-7.2,,27.4,,7.6,,35.1,,0,,,,,
1966-08,1966,8,10.2,,5.2,,7.7,,16.1,S,-2.8,,0.8,,0,,0.8,,0,,,,,
1966-09,1966,9,0.9,,-2.3,,-0.7,,8.3,,-5,,17.3,,17.5,,34.8,,10,,,,,
1966-10,1966,10,-3,,-5.7,,-4.4,,3.3,,-10.6,,0,T,35.6,,35.6,,51,,,,,
1966-11,1966,11,-12.4,,-17.6,,-15,,-2.2,,-26.1,,0,,33.5,,33.5,,91,,,,,
1966-12,1966,12,-19,,-23.9,,-21.5,,-12.8,,-31.7,,0,,8.4,,8.4,,99,,,,,
1967-01,1967,1,-20.5,,-25.2,,-22.9,,-13.3,,-32.8,,0,,10.2,,10.2,,112,,,,,
1967-02,1967,2,-26.8,,-30.5,,-28.7,,-17.8,S,-38.3,,0,,2,,2,,114,,,,,
1967-03,1967,3,-20.4,,-26.6,,-23.5,,-2.2,,-32.8,S,0,,3.3,,3.3,,107,,,,,
1967-04,1967,4,-16.4,,-21.2,,-18.8,,-10.6,,-30,,0,,14,,14,,79,,,,,
1967-05,1967,5,-0.4,,-6.1,,-3.3,,11.1,,-16.1,,0,T,17.3,,17.3,,46,,,,,
1967-06,1967,6,0.5,,-3.6,,-1.6,,6.1,,-6.1,S,0,T,35.3,,35.3,,46,,,,,
1967-07,1967,7,9.5,,2.9,,6.2,,18.3,,-3.9,,4.6,,0,T,4.6,,0,,,,,
1967-08,1967,8,4.2,,0.1,,2.2,,9.4,,-1.7,S,19.1,,23.1,,42.2,,0,,,,,
1967-09,1967,9,-1.4,,-5.1,,-3.3,,8.3,,-8.9,S,8.4,,36.8,,45.2,,20,,,,,
1967-10,1967,10,-6.6,,-10.6,,-8.6,,0.6,,-18.9,,0,,16.3,,16.3,,36,,,,,
1967-11,1967,11,-17.1,,-21.7,,-19.4,,-8.3,,-31.1,,0,,25.4,,25.4,,58,,,,,
1967-12,1967,12,-16.3,,-20.7,,-18.5,,3.3,,-33.3,,0,,11.7,,11.7,,66,,,,,
1968-01,1968,1,-22.9,,-27.1,,-25,,-15.6,,-33.9,,0,,1,,1,,66,,,,,
1968-02,1968,2,-23.8,,-29.2,,-26.5,,-9.4,,-35.6,,0,,7.4,,7.4,,74,,,,,
1968-03,1968,3,-23.2,,-27.7,,-25.5,,-9.4,,-35.6,S,0,,17.3,,17.3,,86,,,,,
1968-04,1968,4,-10.4,,-15.7,,-13.1,,1.1,,-23.3,S,0,,38.1,,38.1,,114,,,,,
1968-05,1968,5,-3.2,,-9.4,,-6.3,,7.8,,-18.3,,0,,26.9,,26.9,,84,,,,,
1968-06,1968,6,3.9,,-1.4,,1.3,,17.8,,-5.6,,16.8,,0.5,,17.3,,0,T,,,,
1968-07,1968,7,5.2,,0.2,,2.7,,10.6,S,-3.9,,20.1,,11.4,,31.5,,5,,,,,
1968-08,1968,8,3.7,,-0.8,,1.5,,8.3,S,-2.8,S,9.4,,18.5,,27.9,,0,,,,,
1968-09,1968,9,1.6,,-2.8,,-0.6,,9.4,S,-6.1,,18.3,,13.7,,32,,3,,,,,
1968-10,1968,10,-2.6,,-6.6,,-4.6,,5,,-12.2,S,8.6,,37.6,,46.2,,30,,,,,
1968-11,1968,11,-11.1,,-16.4,,-13.8,,2.2,,-30,,0,,27.9,,27.9,,33,,,,,
1968-12,1968,12,-16.8,,-22.9,,-19.9,,-3.3,,-36.7,,0,,15,,15,,38,,,,,
1969-01,1969,1,-17.6,,-23.3,,-20.5,,-3.9,,-33.3,,0,,20.6,,20.6,,38,,,,,
1969-02,1969,2,-15.1,,-21.1,,-18.1,,-1.7,,-32.2,,0,,48.5,,48.5,,71,,,,,
1969-03,1969,3,-23.7,,-29.2,,-26.5,,-16.7,S,-37.2,,0,,8.1,,8.1,,51,,,,,
1969-04,1969,4,-16.7,,-22.6,,-19.7,,-1.7,,-28.3,S,0,,4.6,,4.6,,33,,,,,
1969-05,1969,5,-5.3,,-11.6,,-8.5,,3.3,,-16.1,,0,,35.8,,35.8,,46,,,,,
1969-06,1969,6,0.7,,-4.7,,-2,,6.7,,-7.8,S,0,,38.4,,38.4,,10,,,,,
1969-07,1969,7,9.4,,2.3,,5.9,,18.9,,-3.3,,18.3,,6.9,,25.1,,0,,,,,
1969-08,1969,8,8,,2.3,,5.2,,17.2,,-5.6,,5.1,,8.1,,13.2,,3,,,,,
1969-09,1969,9,-1.1,,-4.6,,-2.9,,6.1,,-10.6,,0.8,,46,,46.7,,15,,,,,
1969-10,1969,10,-4.8,,-8.8,,-6.8,,1.7,,-19.4,,0,T,61.2,,61.2,,38,,,,,
1969-11,1969,11,-11.1,,-18.6,,-14.9,,0.6,,-26.7,,0,,99.8,,99.8,,97,,,,,
1969-12,1969,12,-16.9,,-22.3,,-19.6,,-9.4,,-33.3,,0,,31.2,,31.2,,114,,,,,
1970-01,1970,1,-24.7,,-29.2,,-27,,-16.1,,-37.8,,0,,17.5,,17.5,,114,,,,,
1970-02,1970,2,-22.4,,-27.7,,-25.1,,-16.1,S,-36.7,,0,,37.1,,37.1,,122,,,,,
1970-03,1970,3,-20.7,,-26.4,,-23.6,,-12.8,,-37.8,,0,,7.4,,7.4,,119,,,,,
1970-04,1970,4,-15.8,,-21.7,,-18.8,,-7.2,,-26.1,S,0,,36.8,,36.8,,122,,,,,
1970-05,1970,5,-8.7,,-13.9,,-11.3,,-1.7,S,-22.8,,0,,91.2,,91.2,,97,,,,,
1970-06,1970,6,1.2,,-4.1,,-1.5,,6.7,S,-7.8,,0,T,44.5,,44.5,,8,,,,,
1970-07,1970,7,5.4,,-0.7,,2.4,,11.1,S,-6.1,S,0.8,,3.6,,4.3,,0,T,,,,
1970-08,1970,8,3.8,,-1.2,,1.3,,12.2,,-5,,0.3,,4.8,,5.1,,0,,,,,
1970-09,1970,9,-0.6,,-4,,-2.3,,7.2,,-6.7,,22.9,,46,,68.8,,30,,,,,
1970-10,1970,10,-3.2,,-7.3,,-5.3,,2.8,,-13.9,,0,,43.4,,43.4,,61,,,,,
1970-11,1970,11,-11.1,,-15.9,,-13.5,,-4.4,S,-23.3,S,0,,75.7,,75.7,,71,,,,,
1970-12,1970,12,-21.7,,-27.2,,-24.5,,-2.8,,-35.6,,0,,5.8,,5.8,,74,,,,,
1971-01,1971,1,-22.4,,-27.6,,-25,,-10.6,,-37.2,,0,,4.3,,4.3,,71,,,,,
1971-02,1971,2,-26.4,,-30.8,,-28.6,,-13.3,,-39.4,,0,,5.1,,5.1,,71,,,,,
1971-03,1971,3,-17.9,,-23.1,,-20.5,,-5.6,,-29.4,,0,,0,T,0,T,64,,,,,
1971-04,1971,4,-13.8,,-19.6,,-16.7,,-0.6,,-28.9,,0,,13.5,,13.5,,43,,,,,
1971-05,1971,5,-5.7,,-10.4,,-8.1,,0,,-16.7,,0,,21.8,,21.8,,25,,,,,
1971-06,1971,6,2.3,,-2.7,,-0.2,,10,,-8.9,,0,,16.8,,16.8,,0,,,,,
1971-07,1971,7,7.1,,0.9,,4,,15,,-3.9,S,19.1,,12.7,,31.8,,0,,,,,
1971-08,1971,8,5,,-1.1,,2,,13.3,,-3.9,S,28.2,,15.2,,43.4,,0,,,,,
1971-09,1971,9,-0.3,,-3.6,,-2,,6.7,S,-7.2,,0,,30.2,,30.2,,13,,,,,
1971-10,1971,10,-5.3,,-9,,-7.2,,-1.1,,-17.2,S,0,,55.6,,55.6,,58,,,,,
1971-11,1971,11,-14.4,,-19.3,,-16.9,,-6.1,S,-27.8,,0,,52.1,,52.1,,99,,,,,
