Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Observer(s) Initials
19,8,2003,44,50.2,56.1,"DS, KS, DH"
19,8,2003,45,52.9,50.3,"DS, KS, DH"
19,8,2003,46,55.7,62,"DS, KS, DH"
19,8,2003,47,58,64.4,"DS, KS, DH"
19,8,2003,48,54.8,65.5,"DS, KS, DH"
19,8,2003,49,65.8,61.2,"DS, KS, DH"
19,8,2003,50,72.1,70.2,"DS, KS, DH"
19,8,2003,51,59.6,59.9,"DS, KS, DH"
19,8,2003,52,62.6,48.8,"DS, KS, DH"
19,8,2003,53,52.2,54.8,"DS, KS, DH"
19,8,2003,54,56.5,51.7,"DS, KS, DH"
19,8,2003,55,55.4,54,"DS, KS, DH"
19,8,2003,56,46.5,54.5,"DS, KS, DH"
19,8,2003,57,68.4,47.1,"DS, KS, DH"
19,8,2003,58,62.5,63.7,"DS, KS, DH"
19,8,2003,59,60.9,61.2,"DS, KS, DH"
19,8,2003,60,62.4,60.8,"DS, KS, DH"
19,8,2003,61,55.3,60.4,"DS, KS, DH"
19,8,2003,62,59.1,62.3,"DS, KS, DH"
19,8,2003,63,54,62,"DS, KS, DH"
19,8,2003,64,63.7,64.2,"DS, KS, DH"
19,8,2003,65,63.9,67,"DS, KS, DH"
19,8,2003,66,66.2,71.4,"DS, KS, DH"
19,8,2003,67,68.1,55.7,"DS, KS, DH"
19,8,2003,68,45.4,57.5,"DS, KS, DH"
19,8,2003,69,54.9,56.2,"DS, KS, DH"
19,8,2003,70,52,54.1,"DS, KS, DH"
19,8,2003,71,59.5,60.3,"DS, KS, DH"
19,8,2003,72,66.3,62.1,"DS, KS, DH"
19,8,2003,73,72,63.8,"DS, KS, DH"
19,8,2003,74,66.3,70.5,"DS, KS, DH"
19,8,2003,75,68.4,47,"DS, KS, DH"
19,8,2003,76,50,61.2,"DS, KS, DH"
19,8,2003,77,56,60.7,"DS, KS, DH"
19,8,2003,78,55.3,55.4,"DS, KS, DH"
19,8,2003,79,60.3,46,"DS, KS, DH"
19,8,2003,80,50.2,51.5,"DS, KS, DH"
19,8,2003,81,53.5,52.8,"DS, KS, DH"
19,8,2003,82,51.8,65.2,"DS, KS, DH"
19,8,2003,83,55,63.7,"DS, KS, DH"
19,8,2003,84,64.4,49.2,"DS, KS, DH"
19,8,2003,85,66.6,65.4,"DS, KS, DH"
19,8,2003,86,65.7,56.9,"DS, KS, DH"
19,8,2003,87,54.9,55.6,"DS, KS, DH"
19,8,2003,88,53.3,59.3,"DS, KS, DH"
19,8,2003,89,43.6,48,"DS, KS, DH"
19,8,2003,90,58.1,48.8,"DS, KS, DH"
19,8,2003,91,62.3,64,"DS, KS, DH"
19,8,2003,92,53,69.1,"DS, KS, DH"
19,8,2003,93,66.4,58.3,"DS, KS, DH"
19,8,2003,94,68,66.9,"DS, KS, DH"
19,8,2003,95,62.8,68.6,"DS, KS, DH"
19,8,2003,96,52.7,63.9,"DS, KS, DH"
19,8,2003,97,55.8,58,"DS, KS, DH"
19,8,2003,98,51,57.8,"DS, KS, DH"
19,8,2003,99,48.7,41.6,"DS, KS, DH"
19,8,2003,100,34.5,43.5,"DS, KS, DH"
7,8,2004,1,64.1,70,"DH, BF"
7,8,2004,2,61.9,63.6,"DH, BF"
7,8,2004,3,56.5,58.1,"DH, BF"
7,8,2004,4,66.6,53.9,"DH, BF"
7,8,2004,5,57,58.2,"DH, BF"
7,8,2004,6,61.2,61.7,"DH, BF"
7,8,2004,7,65.6,51.7,"DH, BF"
7,8,2004,8,57.5,63.9,"DH, BF"
7,8,2004,9,67.9,65,"DH, BF"
7,8,2004,10,60.8,56.5,"DH, BF"
7,8,2004,11,65.8,66.3,"DH, BF"
7,8,2004,12,64.7,66.3,"DH, BF"
7,8,2004,13,50.3,57.8,"DH, BF"
7,8,2004,14,61.4,62.7,"DH, BF"
7,8,2004,15,50.2,57.6,"DH, BF"
7,8,2004,16,64.2,62.4,"DH, BF"
7,8,2004,17,58.7,64.1,"DH, BF"
7,8,2004,18,64.1,58.7,"DH, BF"
7,8,2004,19,57,51.7,"DH, BF"
7,8,2004,20,59.8,64.1,"DH, BF"
7,8,2004,21,64.4,52.3,"DH, BF"
7,8,2004,22,60,62.7,"DH, BF"
7,8,2004,23,36.7,46,"DH, BF"
7,8,2004,24,60,56.6,"DH, BF"
7,8,2004,25,56.3,47,"DH, BF"
7,8,2004,26,46.1,47.5,"DH, BF"
7,8,2004,27,50.4,50.1,"DH, BF"
7,8,2004,28,65.5,67,"DH, BF"
7,8,2004,29,56.6,57.3,"DH, BF"
7,8,2004,30,55.8,63,"DH, BF"
7,8,2004,31,61.1,63.2,"DH, BF"
7,8,2004,32,65.6,64.3,"DH, BF"
7,8,2004,33,60,52.8,"DH, BF"
7,8,2004,34,62.8,47.8,"DH, BF"
7,8,2004,35,48.8,56.1,"DH, BF"
7,8,2004,36,47.8,52.3,"DH, BF"
7,8,2004,37,57.9,54.2,"DH, BF"
7,8,2004,38,64.3,57.7,"DH, BF"
7,8,2004,39,58,64.4,"DH, BF"
7,8,2004,40,66,58.6,"DH, BF"
7,8,2004,41,64.2,64.5,"DH, BF"
7,8,2004,42,65.4,63.1,"DH, BF"
7,8,2004,43,50.2,54.6,"DH, BF"
7,8,2004,44,58.3,53.6,"DH, BF"
7,8,2004,45,44.2,45.7,"DH, BF"
7,8,2004,46,52.6,51.6,"DH, BF"
7,8,2004,47,60,53.4,"DH, BF"
7,8,2004,48,64,64.3,"DH, BF"
7,8,2004,49,56.9,56.4,"DH, BF"
7,8,2004,50,71.8,61.9,"DH, BF"
7,8,2004,51,64.7,62,"DH, BF"
7,8,2004,52,57.8,58.7,"DH, BF"
7,8,2004,53,55.1,45,"DH, BF"
7,8,2004,54,60.6,54.7,"DH, BF"
7,8,2004,55,58.6,48.4,"DH, BF"
7,8,2004,56,57.1,58.7,"DH, BF"
7,8,2004,57,54.8,62.3,"DH, BF"
7,8,2004,58,61.3,61.3,"DH, BF"
7,8,2004,59,62.5,56.98,"DH, BF"
7,8,2004,60,63.4,60.6,"DH, BF"
7,8,2004,61,62.6,55,"DH, BF"
7,8,2004,62,61.6,56,"DH, BF"
7,8,2004,63,57.5,56.5,"DH, BF"
7,8,2004,64,63.3,56.9,"DH, BF"
7,8,2004,65,59.5,65,"DH, BF"
7,8,2004,66,64,68.4,"DH, BF"
7,8,2004,67,64.6,58.8,"DH, BF"
7,8,2004,68,68.8,50.9,"DH, BF"
7,8,2004,69,56.9,53.4,"DH, BF"
7,8,2004,70,43.8,52.6,"DH, BF"
7,8,2004,71,60.6,61.1,"DH, BF"
7,8,2004,72,51.6,56.6,"DH, BF"
7,8,2004,73,62.6,62.4,"DH, BF"
7,8,2004,74,61.3,62,"DH, BF"
7,8,2004,75,65,64.2,"DH, BF"
7,8,2004,76,51.5,59.8,"DH, BF"
7,8,2004,77,55.7,57.8,"DH, BF"
7,8,2004,78,53.1,50.2,"DH, BF"
7,8,2004,79,40.3,51.3,"DH, BF"
7,8,2004,80,48.7,43.7,"DH, BF"
7,8,2004,81,55,57.3,"DH, BF"
7,8,2004,82,55.9,64,"DH, BF"
7,8,2004,83,61.6,52.7,"DH, BF"
7,8,2004,84,61.5,55.4,"DH, BF"
7,8,2004,85,63.8,64.9,"DH, BF"
7,8,2004,86,59.5,58.4,"DH, BF"
7,8,2004,87,52.3,56.8,"DH, BF"
7,8,2004,88,55.4,57.1,"DH, BF"
7,8,2004,89,48.4,44.1,"DH, BF"
7,8,2004,90,47.6,41.3,"DH, BF"
7,8,2004,91,58.5,61.2,"DH, BF"
7,8,2004,92,63.7,54.3,"DH, BF"
7,8,2004,93,68.4,67.9,"DH, BF"
7,8,2004,94,63.5,66.8,"DH, BF"
7,8,2004,95,69.1,69.9,"DH, BF"
7,8,2004,96,65.7,60.8,"DH, BF"
7,8,2004,97,55.7,49,"DH, BF"
7,8,2004,98,58,55.4,"DH, BF"
7,8,2004,99,45.3,42.4,"DH, BF"
7,8,2004,100,66.5,40.6,"DH, BF"
21,8,2005,1,46,75,"ME, JK"
21,8,2005,2,52,72,"ME, JK"
21,8,2005,3,63.5,66,"ME, JK"
21,8,2005,4,71.5,68,"ME, JK"
21,8,2005,5,69.5,69.5,"ME, JK"
21,8,2005,6,69,67.5,"ME, JK"
21,8,2005,7,60.5,52,"ME, JK"
21,8,2005,8,66.5,66.5,"ME, JK"
21,8,2005,9,73.5,65,"ME, JK"
21,8,2005,10,61,60.5,"ME, JK"
21,8,2005,11,64,46,"ME, JK"
21,8,2005,12,75,71,"ME, JK"
21,8,2005,13,52,59,"ME, JK"
21,8,2005,14,62,57,"ME, JK"
21,8,2005,15,50.5,56,"ME, JK"
21,8,2005,16,38,53,"ME, JK"
21,8,2005,17,55,52,"ME, JK"
21,8,2005,18,67.5,61.5,"ME, JK"
21,8,2005,19,64.5,59,"ME, JK"
21,8,2005,20,64,65.5,"ME, JK"
21,8,2005,21,68,67.5,"ME, JK"
21,8,2005,22,57,68,"ME, JK"
21,8,2005,23,65.5,60,"ME, JK"
21,8,2005,24,47.5,64,"ME, JK"
21,8,2005,25,42,63.5,"ME, JK"
21,8,2005,26,58,63.5,"ME, JK"
21,8,2005,27,55,52,"ME, JK"
21,8,2005,28,60,66.5,"ME, JK"
21,8,2005,29,63,63.5,"ME, JK"
21,8,2005,30,69,71,"ME, JK"
21,8,2005,31,64,49,"ME, JK"
21,8,2005,32,69,69,"ME, JK"
21,8,2005,33,61,61,"ME, JK"
21,8,2005,34,57,59,"ME, JK"
21,8,2005,35,53,61,"ME, JK"
21,8,2005,36,47,59,"ME, JK"
21,8,2005,37,62,48,"ME, JK"
21,8,2005,38,62.5,68,"ME, JK"
21,8,2005,39,49.5,57,"ME, JK"
21,8,2005,40,54,66,"ME, JK"
21,8,2005,41,64,59.5,"ME, JK"
21,8,2005,42,59.5,68.5,"ME, JK"
21,8,2005,43,62.5,61,"ME, JK"
21,8,2005,44,52.5,49,"ME, JK"
21,8,2005,45,55,65.5,"ME, JK"
21,8,2005,46,65.5,55,"ME, JK"
21,8,2005,47,61,69,"ME, JK"
21,8,2005,48,44.5,45.5,"ME, JK"
21,8,2005,49,68,68.5,"ME, JK"
21,8,2005,50,63.5,68,"ME, JK"
21,8,2005,51,57,46,"ME, JK"
21,8,2005,52,56,54,"ME, JK"
21,8,2005,53,51,48,"ME, JK"
21,8,2005,54,59,48,"ME, JK"
21,8,2005,55,46,66,"ME, JK"
21,8,2005,56,57,49,"ME, JK"
21,8,2005,57,50,59,"ME, JK"
21,8,2005,58,58,59,"ME, JK"
21,8,2005,59,58,51.5,"ME, JK"
21,8,2005,60,53,62,"ME, JK"
21,8,2005,61,60,50,"ME, JK"
21,8,2005,62,57,61,"ME, JK"
21,8,2005,63,57.5,56,"ME, JK"
21,8,2005,64,60,70,"ME, JK"
21,8,2005,65,71,66.5,"ME, JK"
21,8,2005,66,68.5,60,"ME, JK"
21,8,2005,67,62,65.5,"ME, JK"
21,8,2005,68,61.5,64,"ME, JK"
21,8,2005,69,55.5,51,"ME, JK"
21,8,2005,70,57,47.5,"ME, JK"
21,8,2005,71,48,50,"ME, JK"
21,8,2005,72,57,54,"ME, JK"
21,8,2005,73,67,58,"ME, JK"
21,8,2005,74,54,57.5,"ME, JK"
21,8,2005,75,53,65.5,"ME, JK"
21,8,2005,76,54,50.5,"ME, JK"
21,8,2005,77,56,67,"ME, JK"
21,8,2005,78,63,52,"ME, JK"
21,8,2005,79,48,39,"ME, JK"
21,8,2005,80,51,42,"ME, JK"
21,8,2005,81,47,56,"ME, JK"
21,8,2005,82,64.5,54,"ME, JK"
21,8,2005,83,66,72.5,"ME, JK"
21,8,2005,84,65,52.5,"ME, JK"
21,8,2005,85,74.5,68.5,"ME, JK"
21,8,2005,86,67.5,67.5,"ME, JK"
21,8,2005,87,65.5,64.5,"ME, JK"
21,8,2005,88,66.5,65.5,"ME, JK"
21,8,2005,89,59,52.5,"ME, JK"
21,8,2005,90,40,45.5,"ME, JK"
21,8,2005,91,44,56,"ME, JK"
21,8,2005,92,73.5,65.5,"ME, JK"
21,8,2005,93,72,73,"ME, JK"
21,8,2005,94,36,54,"ME, JK"
21,8,2005,95,73,58,"ME, JK"
21,8,2005,96,43,61,"ME, JK"
21,8,2005,97,53,62,"ME, JK"
21,8,2005,98,54,55,"ME, JK"
21,8,2005,99,40.5,55,"ME, JK"
21,8,2005,100,56,46,"ME, JK"
22,8,2006,1,71.1,71.1,"DS, AK, MI"
22,8,2006,2,68.2,67.4,"DS, AK, MI"
22,8,2006,3,64.4,62.9,"DS, AK, MI"
22,8,2006,4,68.2,65.2,"DS, AK, MI"
22,8,2006,5,63.1,58.7,"DS, AK, MI"
22,8,2006,6,63,69,"DS, AK, MI"
22,8,2006,7,61.9,66.8,"DS, AK, MI"
22,8,2006,8,60,56.1,"DS, AK, MI"
22,8,2006,9,58.8,64.9,"DS, AK, MI"
22,8,2006,10,59,70,"DS, AK, MI"
22,8,2006,11,64.5,62.5,"DS, AK, MI"
22,8,2006,12,70.2,72.5,"DS, AK, MI"
22,8,2006,13,59.2,55.6,"DS, AK, MI"
22,8,2006,14,53.2,53.4,"DS, AK, MI"
22,8,2006,15,57.5,58,"DS, AK, MI"
22,8,2006,16,52.8,58.8,"DS, AK, MI"
22,8,2006,17,58.2,62,"DS, AK, MI"
22,8,2006,18,57,63.9,"DS, AK, MI"
22,8,2006,19,61,57.1,"DS, AK, MI"
22,8,2006,20,63.3,64.6,"DS, AK, MI"
22,8,2006,21,68.8,67,"DS, AK, MI"
22,8,2006,22,65.1,63.2,"DS, AK, MI"
22,8,2006,23,59.9,62,"DS, AK, MI"
22,8,2006,24,60.1,60.1,"DS, AK, MI"
22,8,2006,25,61.9,57.9,"DS, AK, MI"
22,8,2006,26,59.9,61.8,"DS, AK, MI"
22,8,2006,27,62,62.9,"DS, AK, MI"
22,8,2006,28,70.4,65.2,"DS, AK, MI"
22,8,2006,29,68.8,62.9,"DS, AK, MI"
22,8,2006,30,69.1,60.9,"DS, AK, MI"
22,8,2006,31,65.6,67.6,"DS, AK, MI"
22,8,2006,32,67.5,68.2,"DS, AK, MI"
22,8,2006,33,60,59.7,"DS, AK, MI"
22,8,2006,34,64.7,64.5,"DS, AK, MI"
22,8,2006,35,59.5,59.2,"DS, AK, MI"
22,8,2006,36,46.3,51.5,"DS, AK, MI"
22,8,2006,37,45.5,60.2,"DS, AK, MI"
22,8,2006,38,68.5,64.2,"DS, AK, MI"
22,8,2006,39,46.6,51.5,"DS, AK, MI"
22,8,2006,40,67,60.3,"DS, AK, MI"
22,8,2006,41,67,64,"DS, AK, MI"
22,8,2006,42,65.8,69.5,"DS, AK, MI"
22,8,2006,43,61.2,65.8,"DS, AK, MI"
22,8,2006,44,54.8,53.2,"DS, AK, MI"
22,8,2006,45,47,47.8,"DS, AK, MI"
22,8,2006,46,58,54,"DS, AK, MI"
22,8,2006,47,67,62.3,"DS, AK, MI"
22,8,2006,48,61.2,60.2,"DS, AK, MI"
22,8,2006,49,67.3,67.2,"DS, AK, MI"
22,8,2006,50,66,54.5,"DS, AK, MI"
22,8,2006,51,60.6,59,"DS, AK, MI"
22,8,2006,52,54.6,55.7,"DS, AK, MI"
22,8,2006,53,49.5,51,"DS, AK, MI"
22,8,2006,54,65.3,60.5,"DS, AK, MI"
22,8,2006,55,65.7,65.4,"DS, AK, MI"
22,8,2006,56,60.2,62.1,"DS, AK, MI"
22,8,2006,57,61,64.2,"DS, AK, MI"
22,8,2006,58,60.7,59.2,"DS, AK, MI"
22,8,2006,59,65,62.6,"DS, AK, MI"
22,8,2006,60,58,58,"DS, AK, MI"
22,8,2006,61,56.7,57.4,"DS, AK, MI"
22,8,2006,62,55,63.9,"DS, AK, MI"
22,8,2006,63,56,57,"DS, AK, MI"
22,8,2006,64,63.9,65,"DS, AK, MI"
22,8,2006,65,68.5,66.2,"DS, AK, MI"
22,8,2006,66,63.8,65.5,"DS, AK, MI"
22,8,2006,67,69.4,67.5,"DS, AK, MI"
22,8,2006,68,58,61.3,"DS, AK, MI"
22,8,2006,69,67.6,64.8,"DS, AK, MI"
22,8,2006,70,52.5,35.5,"DS, AK, MI"
22,8,2006,71,50,54.7,"DS, AK, MI"
22,8,2006,72,61.5,58.3,"DS, AK, MI"
22,8,2006,73,72.3,57,"DS, AK, MI"
22,8,2006,74,58,54.7,"DS, AK, MI"
22,8,2006,75,65.5,56,"DS, AK, MI"
22,8,2006,76,66.8,55,"DS, AK, MI"
22,8,2006,77,69,61.2,"DS, AK, MI"
22,8,2006,78,66.7,63.3,"DS, AK, MI"
22,8,2006,79,30.1,21.8,"DS, AK, MI"
22,8,2006,80,54.2,43.5,"DS, AK, MI"
22,8,2006,81,51.2,59.3,"DS, AK, MI"
22,8,2006,82,60,63.1,"DS, AK, MI"
22,8,2006,83,71,70.1,"DS, AK, MI"
22,8,2006,84,63.4,57.5,"DS, AK, MI"
22,8,2006,85,73.8,67,"DS, AK, MI"
22,8,2006,86,68.5,67,"DS, AK, MI"
22,8,2006,87,67.9,69,"DS, AK, MI"
22,8,2006,88,58.2,55.6,"DS, AK, MI"
22,8,2006,89,50.1,51,"DS, AK, MI"
22,8,2006,90,42.1,44.5,"DS, AK, MI"
22,8,2006,91,71.3,70.6,"DS, AK, MI"
22,8,2006,92,72,70.5,"DS, AK, MI"
22,8,2006,93,54.3,58.6,"DS, AK, MI"
22,8,2006,94,38,57.8,"DS, AK, MI"
22,8,2006,95,72.7,68,"DS, AK, MI"
22,8,2006,96,59.2,55.2,"DS, AK, MI"
22,8,2006,97,41.1,44,"DS, AK, MI"
22,8,2006,98,58.2,57.7,"DS, AK, MI"
22,8,2006,99,40.7,39,"DS, AK, MI"
22,8,2006,100,66,63.8,"DS, AK, MI"
11,8,2007,1,74.7,70.3,"AF, DS, KF"
11,8,2007,2,72.4,72,"AF, DS, KF"
11,8,2007,3,57.9,58.4,"AF, DS, KF"
11,8,2007,4,58.7,69.4,"AF, DS, KF"
11,8,2007,5,60.1,68.1,"AF, DS, KF"
11,8,2007,6,65.9,65.8,"AF, DS, KF"
11,8,2007,7,67.8,54.9,"AF, DS, KF"
11,8,2007,8,54.2,64.6,"AF, DS, KF"
11,8,2007,9,67.1,68.5,"AF, DS, KF"
11,8,2007,10,60.7,63,"AF, DS, KF"
11,8,2007,11,69.3,61.7,"AF, DS, KF"
11,8,2007,12,75.3,70.9,"AF, DS, KF"
11,8,2007,13,58.5,62.1,"AF, DS, KF"
11,8,2007,14,61.4,63.3,"AF, DS, KF"
11,8,2007,15,62.6,45.9,"AF, DS, KF"
11,8,2007,16,52.4,55.3,"AF, DS, KF"
11,8,2007,17,61.4,53.2,"AF, DS, KF"
11,8,2007,18,66,58.1,"AF, DS, KF"
11,8,2007,19,56.2,62,"AF, DS, KF"
11,8,2007,20,68,63.4,"AF, DS, KF"
11,8,2007,21,74.4,72.7,"AF, DS, KF"
11,8,2007,22,58.6,64.8,"AF, DS, KF"
11,8,2007,23,58,61.8,"AF, DS, KF"
11,8,2007,24,40.6,45.7,"AF, DS, KF"
11,8,2007,25,63.6,57.5,"AF, DS, KF"
11,8,2007,26,50.4,60.8,"AF, DS, KF"
11,8,2007,27,54.6,59.9,"AF, DS, KF"
11,8,2007,28,60,65.4,"AF, DS, KF"
11,8,2007,29,62.5,57.3,"AF, DS, KF"
11,8,2007,30,66.4,69.2,"AF, DS, KF"
11,8,2007,31,68.4,69.3,"AF, DS, KF"
11,8,2007,32,70,74.5,"AF, DS, KF"
11,8,2007,33,65,60.4,"AF, DS, KF"
11,8,2007,34,54.6,53.5,"AF, DS, KF"
11,8,2007,35,67.4,56.5,"AF, DS, KF"
11,8,2007,36,60,49.5,"AF, DS, KF"
11,8,2007,37,67.4,45.6,"AF, DS, KF"
11,8,2007,38,63.7,63,"AF, DS, KF"
11,8,2007,39,49.9,55.6,"AF, DS, KF"
11,8,2007,40,63.8,64.6,"AF, DS, KF"
11,8,2007,41,67.6,66.1,"AF, DS, KF"
11,8,2007,42,58.9,67.6,"AF, DS, KF"
11,8,2007,43,52.8,57.4,"AF, DS, KF"
11,8,2007,44,52.8,43.8,"AF, DS, KF"
11,8,2007,45,47.7,55.8,"AF, DS, KF"
11,8,2007,46,46.5,52.4,"AF, DS, KF"
11,8,2007,47,63.9,61.4,"AF, DS, KF"
11,8,2007,48,46.6,63.1,"AF, DS, KF"
11,8,2007,49,59.5,56.8,"AF, DS, KF"
11,8,2007,50,57.2,70.2,"AF, DS, KF"
11,8,2007,51,51.8,61.8,"AF, DS, KF"
11,8,2007,52,58.4,46.9,"AF, DS, KF"
11,8,2007,53,50.4,53.3,"AF, DS, KF"
11,8,2007,54,49.3,46.4,"AF, DS, KF"
11,8,2007,55,52.2,62.5,"AF, DS, KF"
11,8,2007,56,54.8,52,"AF, DS, KF"
11,8,2007,57,56.3,62.5,"AF, DS, KF"
11,8,2007,58,68.6,64.7,"AF, DS, KF"
11,8,2007,59,54.8,58.8,"AF, DS, KF"
11,8,2007,60,47.8,56.7,"AF, DS, KF"
11,8,2007,61,55,64.6,"AF, DS, KF"
11,8,2007,62,64,58.6,"AF, DS, KF"
11,8,2007,63,57.7,57.5,"AF, DS, KF"
11,8,2007,64,68.7,54.9,"AF, DS, KF"
11,8,2007,65,70.2,66.7,"AF, DS, KF"
11,8,2007,66,67.4,67.3,"AF, DS, KF"
11,8,2007,67,58.9,52.5,"AF, DS, KF"
11,8,2007,68,64.7,60.7,"AF, DS, KF"
11,8,2007,69,52,56.5,"AF, DS, KF"
11,8,2007,70,45.3,61.1,"AF, DS, KF"
11,8,2007,71,54.5,61.5,"AF, DS, KF"
11,8,2007,72,51.2,65.5,"AF, DS, KF"
11,8,2007,73,61.5,67.9,"AF, DS, KF"
11,8,2007,74,52.8,60.5,"AF, DS, KF"
11,8,2007,75,57.1,69.7,"AF, DS, KF"
11,8,2007,76,58.2,68,"AF, DS, KF"
11,8,2007,77,69.6,51.2,"AF, DS, KF"
11,8,2007,78,56.5,57.6,"AF, DS, KF"
11,8,2007,79,40.8,58.2,"AF, DS, KF"
11,8,2007,80,38.3,54.7,"AF, DS, KF"
11,8,2007,81,53.3,52.9,"AF, DS, KF"
11,8,2007,82,48.2,68.3,"AF, DS, KF"
11,8,2007,83,66.2,70.2,"AF, DS, KF"
11,8,2007,84,49.6,62.1,"AF, DS, KF"
11,8,2007,85,76,63.5,"AF, DS, KF"
11,8,2007,86,58.6,57.6,"AF, DS, KF"
11,8,2007,87,55.6,53,"AF, DS, KF"
11,8,2007,88,-99999,-99999,"AF, DS, KF"
11,8,2007,89,48.9,51.8,"AF, DS, KF"
11,8,2007,90,31.6,45.6,"AF, DS, KF"
11,8,2007,91,74.8,73.1,"AF, DS, KF"
11,8,2007,92,73,55.2,"AF, DS, KF"
11,8,2007,93,62.2,63.6,"AF, DS, KF"
11,8,2007,94,54.4,70.3,"AF, DS, KF"
11,8,2007,95,63.3,61.2,"AF, DS, KF"
11,8,2007,96,50.9,70.1,"AF, DS, KF"
11,8,2007,97,50.8,51.3,"AF, DS, KF"
